id,subject,description,status,tags,requester_id,created_at,company,priority
10049,Great permissions experience,Templates saved our team hours when spinning up new client projects,pending,templates,zd_user_049,2026-05-24T10:04:00.000Z,Flowdesk,normal
10050,Mobile Sync is okay,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1052.,solved,onboarding,zd_user_050,2026-05-23T11:11:00.000Z,Flowdesk,normal
10051,Notifications issue,Push notifications fire twice for the same task assignment. Context: Notifications workflow on Flowdesk.,closed,permissions,zd_user_051,2026-05-22T12:18:00.000Z,Flowdesk,high
10052,Templates issue,Project templates cannot be shared across workspaces. Context: Templates workflow on Flowdesk.,open,mobile_sync,zd_user_052,2026-05-21T13:25:00.000Z,Flowdesk,high
10053,Onboarding issue,Cannot nest subtasks more than two levels deep. Context: Onboarding workflow on Flowdesk.,pending,notifications,zd_user_053,2026-05-20T14:32:00.000Z,Flowdesk,high
10054,Permissions issue,SSO setup docs are outdated and broke our Okta trial. Context: Permissions workflow on Flowdesk.,solved,templates,zd_user_054,2026-05-19T15:39:00.000Z,Flowdesk,high
10055,Mobile Sync issue,Calendar integration drops recurring meetings randomly. Context: Mobile Sync workflow on Flowdesk.,closed,onboarding,zd_user_055,2026-05-18T16:46:00.000Z,Flowdesk,high
10056,Considering alternatives — Notifications,Third escalation this month about permissions — considering Monday.com,open,permissions,zd_user_056,2026-05-17T17:53:00.000Z,Flowdesk,urgent
10057,Considering alternatives — Templates,Repeated complaint: guests see private threads. Escalating to our VP,pending,mobile_sync,zd_user_057,2026-05-16T08:00:00.000Z,Flowdesk,urgent
10058,Great onboarding experience,Love the clean board view — finally replaced our sticky-note chaos,solved,notifications,zd_user_058,2026-05-15T09:07:00.000Z,Flowdesk,normal
10059,Great permissions experience,Templates saved our team hours when spinning up new client projects,closed,templates,zd_user_059,2026-05-14T10:14:00.000Z,Flowdesk,normal
10060,Mobile Sync is okay,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1062.,open,onboarding,zd_user_060,2026-05-13T11:21:00.000Z,Flowdesk,normal
10061,Notifications issue,Push notifications fire twice for the same task assignment. Context: Notifications workflow on Flowdesk.,pending,permissions,zd_user_061,2026-05-12T12:28:00.000Z,Flowdesk,high
10062,Templates issue,Project templates cannot be shared across workspaces. Context: Templates workflow on Flowdesk.,solved,mobile_sync,zd_user_062,2026-05-11T13:35:00.000Z,Flowdesk,high
10063,Onboarding issue,Cannot nest subtasks more than two levels deep. Context: Onboarding workflow on Flowdesk.,closed,notifications,zd_user_063,2026-05-10T14:42:00.000Z,Flowdesk,high
10064,Permissions issue,SSO setup docs are outdated and broke our Okta trial. Context: Permissions workflow on Flowdesk.,open,templates,zd_user_064,2026-05-09T15:49:00.000Z,Flowdesk,high
10065,Mobile Sync issue,Calendar integration drops recurring meetings randomly. Context: Mobile Sync workflow on Flowdesk.,pending,onboarding,zd_user_065,2026-05-08T16:56:00.000Z,Flowdesk,high
10066,Considering alternatives — Notifications,We are evaluating Asana because onboarding still takes a full week,solved,permissions,zd_user_066,2026-05-07T17:03:00.000Z,Flowdesk,urgent
10067,Considering alternatives — Templates,If mobile sync is not fixed we will cancel at renewal,closed,mobile_sync,zd_user_067,2026-05-06T08:10:00.000Z,Flowdesk,urgent
10068,Great onboarding experience,Love the clean board view — finally replaced our sticky-note chaos,open,notifications,zd_user_068,2026-05-05T09:17:00.000Z,Flowdesk,normal
10069,Great permissions experience,Templates saved our team hours when spinning up new client projects,pending,templates,zd_user_069,2026-05-04T10:24:00.000Z,Flowdesk,normal
10070,Mobile Sync is okay,Mobile Sync works for basic use but lacks polish compared to alternatives. Ticket #1072.,solved,onboarding,zd_user_070,2026-05-03T11:31:00.000Z,Flowdesk,normal
10071,Notifications issue,Push notifications fire twice for the same task assignment. Context: Notifications workflow on Flowdesk.,closed,permissions,zd_user_071,2026-05-02T12:38:00.000Z,Flowdesk,high
10072,Templates issue,Project templates cannot be shared across workspaces. Context: Templates workflow on Flowdesk.,open,mobile_sync,zd_user_072,2026-05-01T13:45:00.000Z,Flowdesk,high
10073,Onboarding issue,Cannot nest subtasks more than two levels deep. Context: Onboarding workflow on Flowdesk.,pending,notifications,zd_user_073,2026-04-30T14:52:00.000Z,Flowdesk,high
10074,Permissions issue,SSO setup docs are outdated and broke our Okta trial. Context: Permissions workflow on Flowdesk.,solved,templates,zd_user_074,2026-04-29T15:59:00.000Z,Flowdesk,high
10075,Mobile Sync issue,Calendar integration drops recurring meetings randomly. Context: Mobile Sync workflow on Flowdesk.,closed,onboarding,zd_user_075,2026-04-28T16:06:00.000Z,Flowdesk,high
